"short_name","age","height_cm","weight_kg","overall","potential","value_eur","wage_eur","release_clause_eur","club_name","league_name","club_position","nationality_name","preferred_foot","gender","eficiencia_salarial","indice_proyeccion","gap_mercado","general_position","overall_tier"
"K. Mbappé",24,182,75,91,94,181500000,230000,349400000,"Paris Saint Germain","Ligue 1","LW","France","Right","Male",0.00039565045369368,0.125,167900000,"Delantero","Elite (90+)"
"E. Haaland",22,195,94,91,94,1.85e+08,340000,356100000,"Manchester City","Premier League","ST","Norway","Left","Male",0.000267646271628613,0.136363636363636,171100000,"Delantero","Elite (90+)"
"K. De Bruyne",32,181,75,91,91,1.03e+08,350000,190600000,"Manchester City","Premier League","SUB","Belgium","Right","Male",0.00025999925714498,0,87600000,"Otros","Elite (90+)"
"R. Lewandowski",34,185,81,90,90,5.8e+07,340000,118900000,"FC Barcelona","La Liga","ST","Poland","Right","Male",0.000264705103808518,0,60900000,"Delantero","Elite (90+)"
"T. Courtois",31,199,96,90,90,6.3e+07,250000,129200000,"Real Madrid","La Liga","SUB","Belgium","Left","Male",0.00035999856000576,0,66200000,"Otros","Elite (90+)"
"H. Kane",29,188,85,90,90,119500000,170000,197200000,"FC Bayern München","Bundesliga","ST","England","Right","Male",0.00052940865053735,0,77700000,"Delantero","Elite (90+)"
"Vini Jr.",22,176,73,89,94,158500000,310000,336800000,"Real Madrid","La Liga","SUB","Brazil","Right","Male",0.000287095848077909,0.227272727272727,178300000,"Otros","Top Class (85-89)"
"Alisson",30,193,91,89,90,77500000,180000,149200000,"Liverpool","Premier League","GK","Brazil","Right","Male",0.000494441697546125,0.0333333333333333,71700000,"Portero","Top Class (85-89)"
"Rodri",27,191,82,89,90,105500000,250000,203100000,"Manchester City","Premier League","RCM","Spain","Right","Male",0.000355998576005696,0.037037037037037,97600000,"Centrocampista","Top Class (85-89)"
"Rúben Dias",26,187,82,89,90,106500000,250000,205000000,"Manchester City","Premier League","LCB","Portugal","Right","Male",0.000355998576005696,0.0384615384615385,98500000,"Defensa","Top Class (85-89)"
